Company Name,Code of Conduct URL,Summary,TXT Document
SAP,https://www.sap.com/documents/2021/12/eed75d58-507e-0010-bca6-c68f7e60039b.html,"COC COE",SAP_Global_Code_of_Ethics_and_Business_Conduct_for_Employees.txt
SAP,https://www.sap.com/documents/2023/07/02b2d2b7-7e7e-0010-bca6-c68f7e60039b.html,"Partner COC",SAP_Partner_Code_of_Conduct.txt
SAP,https://www.sap.com/about/agreements/sap-supplier-portal/code-of-conduct.html,"Supplier COC",SAP_Supplier_Code_of_Conduct.txt
Siemens,https://www.siemens.com/investor/pool/en/investor_relations/financial_publications/documents_289f/2018/business-conduct-guidelines-e.pdf,"COC",Siemens_business_conduct_guidelines_e.txt
Siemens,https://www.siemens.com/global/en/company/about/supply-chain-management/sustainability-in-the-supply-chain/code-of-conduct.html,"Supplier COC",Siemens_Supplier_Code_of_Conduct_English.txt
Siemens,https://assets.new.siemens.com/siemens/assets/api/uuid:5c242542-e991-4b97-af63-090ad509be74/2019-sag-bcg-en.pdf,"COC",Siemens_2019_sag_bcg_en.txt
Infineon,https://www.infineon.com/business-conduct-guidelines/en/code_of_ethics.html,"COC",Infineon_CoC.txt
Telekom,https://www.telekom.com/en/company/compliance/code-of-conduct,"COC",telekom_code_of_conduct_en.txt
Bosch,https://assets.bosch.com/media/de/global/sustainability/strategy/vision_and_goals/Bosch-Code-of-Business-Conduct.pdf,"COC",Bosch_Code_of_Business_Conduct.txt
Microsoft,https://www.microsoft.com/en-us/legal/compliance/sbc/standards,"COC",Microsoft_Trust_Code_2022_en_us_2023_0509.txt
IBM,https://www.ibm.com/investor/att/pdf/IBM_Business_Conduct_Guidelines.pdf,"COC",IBM_Business_Conduct_Guidelines.txt
Google,https://abc.xyz/investor/other/google-code-of-conduct/,"COC",Google_CoC.txt
Amazon,https://ir.aboutamazon.com/corporate-governance/documents-and-charters/default.aspx,"COC COE",Amazon_CoC.txt
Intel,https://www.intel.com/content/dam/www/public/us/en/documents/corporate-information/code-of-conduct-eng.pdf,"COC",Intel_code_of_conduct_eng.txt
Oracle,https://www.oracle.com/webfolder/assets/ebook/employee-code-of-conduct-and-ethics/index.html,"COC COE",Oracle_CoC.txt
Dell,https://corporate.delltechnologies.com/content/dam/delltechnologies/assets/microsites/codeofconduct/2018/docs/translations/Dell-Technologies-Code-of-Conduct_English.pdf,"COC",Dell_Technologies_Code_of_Conduct_English.txt
HP Inc.,https://investor.hp.com/governance/integrity-at-hp/default.aspx,"COE",HP_Integrity_at_HP_English.txt
Tencent,https://static.www.tencent.com/uploads/2022/02/11/8145567c7560456eec481d512d4429c8.pdf,"COC","Tencent_Environmental,_Social_and_Governance_Report.txt"
Huawei,https://www.huawei.com/ch-en/declarations/ch/business-code-of-conduct,"COC",Huawei_CoC.txt
Samsung,https://www.samsung.com/global/ir/governance-csr/global-code-of-conduct/,"COC",SAMSUNG_business_conduct_guidelines_2016.txt
Samsung,https://www.samsung.com/us/about-us/ethics/,"COE",SAMSUNG_globalcode_of_conduct_2020.txt
Nokia,https://www.nokia.com/about-us/code-of-conduct/,"COC",Nokia_nok2660_code_of_conduct_update_jul2023_eng_v2.txt
Nokia,https://www.nokia.com/sites/default/files/2019-02/Code%20of%20Ethics%202019_0.pdf,"COE",Nokia_Code_of_Ethics_2019_0.txt
Sony,https://www.sony.com/en/SonyInfo/csr_report/compliance/code_of_conduct_En.pdf,"COC",SONY_code_of_conduct_En.txt
Sony,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2023_compliance_E.pdf,"sustainability_report",SONY_SustainabilityReport2023_compliance_E.txt
Cisco,https://s2.q4cdn.com/951347115/files/doc_governance/code-of-conduct/2024/fy24-code-of-business-conduct-english.pdf,"COC",Cisco_fy24_code_of_business_conduct_english.txt
Cisco,https://investor.cisco.com/corporate-governance/financial-officer-code-of-ethics/default.aspx,"Financial COE",Cisco_Financial_Officer_Code_of_Ethics_2018.txt
Adobe,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/code-of-conduct-ext.pdf,"COC",Adobe_code_of_conduct_ext.txt
Adobe,https://www.adobe.com/corporateresponsibility/pdfs/adobe_business_partner_code_of_conduct.pdf,"Partner COC",adobe_business_partner_code_of_conduct.txt
